"station","start_date","end_date"
"XD.MTAN.*","1994-1-1","1995-12-31"
"XD.RUNG.*","1994-1-1","1995-12-31"  
"XA.SA53.*","1995-1-1","1999-12-31"
"XA.SA58.*","1995-1-1","1999-12-31"
"IU.WCI.10.","2014-1-1","2015-1-1"
"II.TLY.00.","2014-1-1","2015-1-1"
"G.KIP.00.","2014-1-1","2015-1-1"
"IU.KMBO.00.","2014-1-1","2015-1-1"
"BK.CMB.00.","2014-1-1","2015-1-1"
"IU.LCO.00.","2014-1-1","2015-1-1"
"IU.KBS.10.","2014-1-1","2015-1-1"
"IU.TIXI.00.","2014-1-1","2015-1-1"
"II.KIV.00.","2014-1-1","2015-1-1"
"II.RPN.00.","2014-1-1","2015-1-1"
"MN.VTS..","2014-1-1","2015-1-1"
"IU.LCO.10.","2014-1-1","2015-1-1"
"IU.TSUM.10.","2014-1-1","2015-1-1"
"II.KIV.10.","2014-1-1","2015-1-1"
"IU.FUNA.10.","2014-1-1","2015-1-1"
"IC.HIA.10.","2014-1-1","2015-1-1"
"MN.RTC..","2014-1-1","2015-1-1"
"IU.LCO..","2014-1-1","2015-1-1"
"II.SUR.00.","2014-1-1","2015-1-1"
"II.PFO.00.","2014-1-1","2015-1-1"
"IC.XAN.00.","2014-1-1","2015-1-1"
"II.TAU.00.","2014-1-1","2015-1-1"
"II.DGAR.10.","2014-1-1","2015-1-1"
"G.RER.00.","2014-1-1","2015-1-1"
"II.ARU.00.","2014-1-1","2015-1-1"
"II.ALE.10.","2014-1-1","2015-1-1"
"II.TAU.10.","2014-1-1","2015-1-1"
"IU.AFI.10.","2014-1-1","2015-1-1"
"G.TRIS.00.","2014-1-1","2015-1-1"
"IU.KIP.10.","2014-1-1","2015-1-1"
"II.ESK.10.","2014-1-1","2015-1-1"
"II.HOPE.00.","2014-1-1","2015-1-1"
"IC.HIA.00.","2014-1-1","2015-1-1"
"MS.BTDF..","2014-1-1","2015-1-1"
"G.SSB.10.","2014-1-1","2015-1-1"
"IU.LSZ.10.","2014-1-1","2015-1-1"
"IU.INCN.10.","2014-1-1","2015-1-1"
"II.OBN.10.","2014-1-1","2015-1-1"
"II.LVZ.00.","2014-1-1","2015-1-1"
"G.ECH.10.","2014-1-1","2015-1-1"
"IU.TRIS.00.","2014-1-1","2015-1-1"
"IC.KMI.00.","2014-1-1","2015-1-1"
"II.BRVK.10.","2014-1-1","2015-1-1"
"G.SSB.00.","2014-1-1","2015-1-1"
"II.ESK.00.","2014-1-1","2015-1-1"
"IU.KIP.60.","2014-1-1","2015-1-1"
"CI.GSC..","2014-1-1","2015-1-1"
"G.INU.00.","2014-1-1","2015-1-1"
"II.BFO.00.","2014-1-1","2015-1-1"
"G.PAF.00.","2014-1-1","2015-1-1"
"II.ABPO.10.","2014-1-1","2015-1-1"
"CI.SNCC..","2014-1-1","2015-1-1"
"IU.SFJD.10.","2014-1-1","2015-1-1"
"II.FFC.10.","2014-1-1","2015-1-1"
"MN.BNI..","2014-1-1","2015-1-1"
"IU.PET.00.","2014-1-1","2015-1-1"
"II.PFO.10.","2014-1-1","2015-1-1"
"II.JTS.00.","2014-1-1","2015-1-1"
"G.ATD.00.","2014-1-1","2015-1-1"
"G.TAM.00.","2014-1-1","2015-1-1"
"IU.TRIS.10.","2014-1-1","2015-1-1"
"IU.PAB.00.","2014-1-1","2015-1-1"
"IU.LCO.60.","2014-1-1","2015-1-1"
"IU.HKT.00.","2014-1-1","2015-1-1"
"IU.TSUM.00.","2014-1-1","2015-1-1"
"IC.MDJ.00.","2014-1-1","2015-1-1"
"IU.PMG.00.","2014-1-1","2015-1-1"
"G.IVI.00.","2014-1-1","2015-1-1"
"G.TRIS.10.","2014-1-1","2015-1-1"
"IU.QSPA.70.","2014-1-1","2015-1-1"
"IU.MA2.00.","2014-1-1","2015-1-1"
